vin,make,model,year,color
WAULD64BX3N931786,Chevrolet,Venture,1933,Fuscia
WDDHF0EB1EB219174,Mazda,Mazda3,1964,Crimson
3C6TD4CT6CG964799,Hyundai,Tiburon,1978,Crimson
WBSWD9C59AP849300,Mercedes-Benz,S-Class,1913,Turquoise
WBADX1C5XCE568187,Volkswagen,Golf,1965,Pink
WBAPH53529A497066,Porsche,911,1953,Teal
5GAKRBKD4FJ665157,MINI,Clubman,1919,Goldenrod
1C4RDJDG8DC372912,Ford,Mustang,1930,Red
1GD020CG8BF262928,Land Rover,Range Rover,2008,Violet
1G4HF5EM5AU363782,Saab,9-7X,1953,Turquoise
4T1BK1EB1EU890877,Honda,Accord,2004,Yellow
JTDKDTB3XD1288776,Porsche,911,1936,Green
WAUKF98E17A283814,Infiniti,G35,1907,Teal
JTHBK1GG0F2621276,Mitsubishi,Montero,1996,Khaki
JTDKDTB30D1566696,Ford,F250,1920,Violet
2G4WF551521517434,Audi,S4,1948,Violet
1G6AR5SX5E0856423,Maybach,57,1917,Orange
1FTMF1EW9AF226245,Acura,MDX,2020,Yellow
2G4GR5EC5B9074006,Acura,MDX,1947,Blue
WBAET37434N830520,Mitsubishi,Mirage,2022,Violet
5UXWX9C5XF0757240,Volvo,S40,1980,Pink
19UYA427X1A087422,Pontiac,Grand Prix,1921,Puce
WVGAV7AX3CW321702,Lincoln,Navigator L,1914,Orange
WBABN334X2J260944,Mazda,MX-5,1910,Aquamarine
2B3CK4CV8AH972370,Cadillac,Eldorado,1989,Aquamarine
WVWED7AJ4DW163652,Suzuki,SJ,1911,Puce
WBAFR1C51BC473479,Infiniti,G,1973,Blue
5J8TB2H2XCA002055,Volvo,S60,1983,Teal
WAUVT58E53A419614,Porsche,911,2012,Yellow
SCFEBBBC7AG042470,Cadillac,Fleetwood,1932,Goldenrod
3VW517ATXEM395956,Volkswagen,Scirocco,1999,Aquamarine
WP0CA2A80DS832863,Mitsubishi,Truck,2005,Crimson
1GYEE23A290279630,BMW,7 Series,1936,Yellow
1C6RD7GP6CS642147,Chevrolet,Suburban 2500,1953,Pink
1FTWX3B56AE502433,Volvo,XC90,1922,Orange
WBA5B3C50FD689657,Kia,Rondo,1970,Indigo
3VW1K7AJ7BM269110,Smart,Fortwo,1901,Crimson
1HGCP2F33AA824013,Mercedes-Benz,M-Class,1901,Teal
WAUWFBFL0BA674231,Saab,900,1981,Indigo
WAURV78T09A439333,Lincoln,Continental,1974,Puce
1HGCR2E32FA126835,Chevrolet,Camaro,2021,Puce
3G5DA03E33S716420,Mercury,Cougar,1902,Violet
WBALW7C57ED637301,Ford,Mustang,1914,Mauv
JTEBU5JR4E5689165,Saab,9-3,1938,Purple
WVGEF9BP2FD471874,Volvo,S80,1903,Mauv
2HNYD18983H979020,Toyota,Sienna,1993,Crimson
WA1YL54BX5N851763,Mazda,929,1953,Fuscia
JTDKTUD39DD829627,Dodge,Stealth,2015,Blue
KNAFT4A20C5818874,GMC,Savana 1500,1929,Mauv
TRUTX28N311746187,Aston Martin,V12 Vantage,1985,Mauv
1G4GD5EG3AF459670,BMW,530,1948,Indigo
JH4KB16327C497277,Cadillac,Eldorado,2019,Teal
1NXBU4EE5AZ652451,Mazda,MX-6,1993,Violet
WBADR63492G871785,Maybach,62,2017,Red
1G6DD67V390225104,Saab,9000,1973,Yellow
KNDPB3A24D7530463,Infiniti,G35,1918,Mauv
2T1KE4EE2BC959348,Lexus,ES,1974,Pink
1G6DS8E36D0157263,Infiniti,G37,1930,Turquoise
1G6KF57945U207731,BMW,X3,1922,Maroon
5N1AR2MM9FC303686,Ford,E-Series,1988,Red
1D7RW3BK8BS301327,Volkswagen,rio,1973,Goldenrod
WA1YD64B62N238960,Ford,Probe,2019,Green
1FTWX3B51AE334247,Honda,del Sol,2008,Orange
1FTEX1C80AK819327,Saturn,Relay,1948,Purple
3VW1K7AJ8DM203880,Ford,E250,1981,Mauv
5LMJJ2J55EE476433,Cadillac,Escalade ESV,1917,Khaki
1G4GA5EC5BF990540,Ford,EXP,2008,Puce
2C3CDXL95FH879606,Honda,Passport,1983,Mauv
